ticker	label	date	open	high	low	close	volume	currency
FR0000124141	VEOLIA ENVIRONNEM	20/04/2020	20,000	20,090	18,850	18,850	2110750	EUR
FR0000124141	VEOLIA ENVIRONNEM	21/04/2020	18,720	18,865	17,565	17,565	3631036	EUR
FR0000124141	VEOLIA ENVIRONNEM	22/04/2020	17,970	18,100	17,500	17,980	2271993	EUR
FR0000124141	VEOLIA ENVIRONNEM	23/04/2020	18,015	18,900	17,755	18,740	2135280	EUR
FR0000124141	VEOLIA ENVIRONNEM	24/04/2020	18,380	18,955	18,215	18,705	1501192	EUR
FR0000124141	VEOLIA ENVIRONNEM	27/04/2020	19,150	19,575	18,760	19,575	1515184	EUR
FR0000124141	VEOLIA ENVIRONNEM	28/04/2020	19,625	19,695	19,070	19,335	1484462	EUR
FR0000124141	VEOLIA ENVIRONNEM	29/04/2020	19,250	20,150	19,115	20,150	1576086	EUR
FR0000124141	VEOLIA ENVIRONNEM	30/04/2020	20,180	20,230	19,330	19,485	2613628	EUR
FR0000124141	VEOLIA ENVIRONNEM	04/05/2020	19,160	19,260	18,595	18,595	1879079	EUR
FR0000127771	VIVENDI	02/01/2020	26,310	26,350	26,020	26,250	3083270	EUR
FR0000127771	VIVENDI	03/01/2020	26,050	26,420	26,050	26,310	2337903	EUR
FR0000127771	VIVENDI	06/01/2020	26,180	26,250	25,850	25,880	3173732	EUR
FR0000127771	VIVENDI	07/01/2020	25,900	26,090	25,800	25,850	2246381	EUR
FR0000127771	VIVENDI	08/01/2020	25,700	25,810	25,630	25,750	2210965	EUR
FR0000127771	VIVENDI	09/01/2020	26,060	26,060	25,910	25,970	2268320	EUR
FR0000127771	VIVENDI	10/01/2020	25,910	26,020	25,860	25,900	2248265	EUR
FR0000127771	VIVENDI	13/01/2020	25,850	25,930	25,600	25,700	2171160	EUR
FR0000127771	VIVENDI	14/01/2020	25,550	25,570	25,220	25,300	3178666	EUR
FR0000127771	VIVENDI	15/01/2020	25,220	25,250	25,060	25,220	2433195	EUR
FR0000127771	VIVENDI	16/01/2020	25,200	25,340	25,160	25,310	2064179	EUR
FR0000127771	VIVENDI	17/01/2020	25,390	25,400	25,150	25,210	2109540	EUR
FR0000127771	VIVENDI	20/01/2020	25,110	25,150	25,030	25,100	1140155	EUR
FR0000127771	VIVENDI	21/01/2020	25,020	25,230	24,920	25,200	1640378	EUR
FR0000127771	VIVENDI	22/01/2020	25,190	25,210	24,770	24,830	3180697	EUR
FR0000127771	VIVENDI	23/01/2020	24,750	25,030	24,730	24,980	2708413	EUR
FR0000127771	VIVENDI	24/01/2020	25,070	25,070	24,730	24,830	2455336	EUR
